Brewery,Name,Score,Style,ABV,Address,Lat,Lon,Link
Monkey Paw Pub & Brewery,Monkey Paw Sweet Georgia Brown,4.2,Brown Ale,5.8,"805 16th St, San Diego, CA 92101",32.713856,-117.149263,"https://www.google.com/maps/place/Monkey+Paw/@32.713856,-117.149263,15z/data=!4m5!3m4!1s0x0:0x6fb6527b56dc3891!8m2!3d32.713856!4d-117.149263"
Monkey Paw Pub & Brewery,Mighty Joe Young,4.0,,5.9,"805 16th St, San Diego, CA 92101",32.713856,-117.149263,"https://www.google.com/maps/place/Monkey+Paw/@32.713856,-117.149263,15z/data=!4m5!3m4!1s0x0:0x6fb6527b56dc3891!8m2!3d32.713856!4d-117.149263"
Monkey Paw Pub & Brewery,Pineapple X-Press,4.5,,5.2,"805 16th St, San Diego, CA 92101",32.713856,-117.149263,"https://www.google.com/maps/place/Monkey+Paw/@32.713856,-117.149263,15z/data=!4m5!3m4!1s0x0:0x6fb6527b56dc3891!8m2!3d32.713856!4d-117.149263"
Monkey Paw Pub & Brewery,Santa's Pet Monkey,4.0,,9.0,"805 16th St, San Diego, CA 92101",32.713856,-117.149263,"https://www.google.com/maps/place/Monkey+Paw/@32.713856,-117.149263,15z/data=!4m5!3m4!1s0x0:0x6fb6527b56dc3891!8m2!3d32.713856!4d-117.149263"
Monkey Paw Pub & Brewery,Sweet Georgia Brown,4.0,,5.8,"805 16th St, San Diego, CA 92101",32.713856,-117.149263,"https://www.google.com/maps/place/Monkey+Paw/@32.713856,-117.149263,15z/data=!4m5!3m4!1s0x0:0x6fb6527b56dc3891!8m2!3d32.713856!4d-117.149263"
Rip Current Brewing,Kirkland Signature Light Beer,0.1,Pale Lager,4.2,"1325 Grand Ave #100, San Marcos, CA 92078",33.1432506,-117.1945487,"https://www.google.com/maps/place/1325+Grand+Ave+%23100,+San+Marcos,+CA+92078/@33.1432506,-117.1945487,17.23z/data=!4m5!3m4!1s0x80dc754175702407:0xa602bf8b10a13eeb!8m2!3d33.1427435!4d-117.1925485"
Rip Current Brewing,Rip Current Break Line Bock,3.2,Bock - Dunkler / Urbock,6.7,"1325 Grand Ave #100, San Marcos, CA 92078",33.1432506,-117.1945487,"https://www.google.com/maps/place/1325+Grand+Ave+%23100,+San+Marcos,+CA+92078/@33.1432506,-117.1945487,17.23z/data=!4m5!3m4!1s0x80dc754175702407:0xa602bf8b10a13eeb!8m2!3d33.1427435!4d-117.1925485"
Rip Current Brewing,Rip Current Rescue Buoy - Bourbon Oaked,4.7,Stout - Imperial,12.0,"1325 Grand Ave #100, San Marcos, CA 92078",33.1432506,-117.1945487,"https://www.google.com/maps/place/1325+Grand+Ave+%23100,+San+Marcos,+CA+92078/@33.1432506,-117.1945487,17.23z/data=!4m5!3m4!1s0x80dc754175702407:0xa602bf8b10a13eeb!8m2!3d33.1427435!4d-117.1925485"
Modern Times Flavordome,Modern Times Space Ways,4.85,IPA - Hazy / New England,6.7,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,Modern Times MT5,4.8,IPA - Imperial / Double,8.4,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,Modern Times Monsters' Park - Rye Barrel,4.95,Stout - Imperial,13.0,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,Modern Times Mountain Voice,4.3,IPA,7.5,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,Modern Times Fountain of Paradise,4.85,IPA - Imperial / Double,8.5,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,Modern Times Monsters' Park - Tennessee Whiskey Barrel,4.6,Stout - Imperial,13.0,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,Modern Times Monsters' Park - Bourbon Barrel,4.95,Stout - Imperial,13.0,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,Modern Times Dinosaur World,4.95,IPA - Imperial / Double,8.0,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,Modern Times Ice,4.05,Czech Pilsner (Světlý),4.8,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,Modern Times Beastmaster (Bourbon Barrel with Maple Syrup & Blueberry),4.95,Stout - Imperial,13.0,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,Modern Times Beastmaster,4.9,Stout - Imperial,13.0,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,Modern Times / Fair State Elf Quarters,4.3,Witbier,5.6,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,Modern Times Oblivion Ring: NOLA Coffee Edition,4.8,Barley Wine / Wheat Wine,11.0,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,Modern Times Transit of Venus,4.65,Saison,5.4,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,Modern Times Devil's Teeth Rum & Rye Whiskey Barrel Cuvee,4.95,American Strong Ale,12.9,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,Modern Times Monsters' Park - Bourbon Barrel: Coconut & Cocoa Nibs,4.95,Stout - Imperial,13.0,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,Modern Times Devil's Teeth - Bourbon Raspberry & Barrel Aged Coffee,4.85,American Strong Ale,12.9,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,Modern Times Worldtree,4.25,Saison,5.9,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,Modern Times Haunted Stars - NOLA Coffee,4.7,Porter - Imperial / Double,8.0,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,Modern Times Geodesic,4.65,IPA,7.5,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,Modern Times Modem Tones - Bourbon Barrel with Vanilla,4.95,Stout - Imperial,14.4,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,Modern Times Lightning Calculator,4.8,IPA - Imperial / Double,8.5,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,Modern Times Finally Open in LA,4.75,IPA,8.0,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,Modern Times Monsters' Park - Bourbon Barrel: Mexican Hot Chocolate,5.0,Stout - Imperial,14.6,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,Modern Times Fortunate Islands,4.75,Wheat Ale,5.0,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,Modern Times Order of Hermes,4.85,Berliner Weisse,6.5,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,Modern Times Monsters' Park,4.9,Stout - Imperial,12.0,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,Modern Times Batch 1500 - Black Currant,4.45,Saison,7.5,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,Modern Times / Casita Cerveceria Dragon Mask,4.95,Stout - Imperial,12.0,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,Modern Times Spaceship Earth,4.8,Pale Ale - American,5.2,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,"Modern Times Devil's Teeth Bourbon Barrel - Almond, Vanilla & Cocoa",4.95,American Strong Ale,11.0,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,Modern Times Attack Frequency,4.7,IPA,7.0,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,Modern Times Mega Blazing World,4.8,IPA - Imperial / Double,8.5,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Modern Times Flavordome,Modern Times Lomaland,3.65,Saison,5.5,"3000 Upas St Ste 102, San Diego, CA 92104",32.7415577,-117.12993,"https://www.google.com/maps/place/Modern+Times+Tasting+Room/@32.7415577,-117.12993,15z/data=!4m2!3m1!1s0x0:0xb79c245e7e3aecd1?sa=X&ved=0ahUKEwiqveyvsd3ZAhWpjVQKHYK1AsYQ_BIIxAEwCg"
Half Door Brewing,Half Door Hoban House,4.35,IPA,6.5,"903 Island Ave, San Diego, CA 92101",32.7102646,-117.1562712,"https://www.google.com/maps/place/Half+Door+Brewing+Co./@32.7102646,-117.1562712,15z/data=!4m5!3m4!1s0x0:0xc18923ac60ce2485!8m2!3d32.7102646!4d-117.1562712"
Half Door Brewing,Half Door #Buzzwords,4.95,IPA - Imperial / Double,8.7,"903 Island Ave, San Diego, CA 92101",32.7102646,-117.1562712,"https://www.google.com/maps/place/Half+Door+Brewing+Co./@32.7102646,-117.1562712,15z/data=!4m5!3m4!1s0x0:0xc18923ac60ce2485!8m2!3d32.7102646!4d-117.1562712"
Half Door Brewing,Half Door House of Hops,4.45,IPA,7.2,"903 Island Ave, San Diego, CA 92101",32.7102646,-117.1562712,"https://www.google.com/maps/place/Half+Door+Brewing+Co./@32.7102646,-117.1562712,15z/data=!4m5!3m4!1s0x0:0xc18923ac60ce2485!8m2!3d32.7102646!4d-117.1562712"
Half Door Brewing,Half Door Bearleener Sour Wheat Ale,4.05,Berliner Weisse,3.8,"903 Island Ave, San Diego, CA 92101",32.7102646,-117.1562712,"https://www.google.com/maps/place/Half+Door+Brewing+Co./@32.7102646,-117.1562712,15z/data=!4m5!3m4!1s0x0:0xc18923ac60ce2485!8m2!3d32.7102646!4d-117.1562712"
Half Door Brewing,Half Door #Hypemachine,4.5,IPA,6.7,"903 Island Ave, San Diego, CA 92101",32.7102646,-117.1562712,"https://www.google.com/maps/place/Half+Door+Brewing+Co./@32.7102646,-117.1562712,15z/data=!4m5!3m4!1s0x0:0xc18923ac60ce2485!8m2!3d32.7102646!4d-117.1562712"
Half Door Brewing,Half Door Father Ted,2.45,Belgian Ale,5.0,"903 Island Ave, San Diego, CA 92101",32.7102646,-117.1562712,"https://www.google.com/maps/place/Half+Door+Brewing+Co./@32.7102646,-117.1562712,15z/data=!4m5!3m4!1s0x0:0xc18923ac60ce2485!8m2!3d32.7102646!4d-117.1562712"
Pure Project,Pure Project Créme De La Pêche,3.3,Cream Ale,5.8,"9030 Kenamar Dr #308, San Diego, CA 92121",32.886637,-117.1571477,"https://www.google.com/maps/place/Pure+Project/@32.886637,-117.1571477,15z/data=!4m5!3m4!1s0x0:0xc271d8b49b4a72cc!8m2!3d32.886637!4d-117.1571477"
Pure Project,Pure Project Milagro,4.25,Stout - Dry,5.3,"9030 Kenamar Dr #308, San Diego, CA 92121",32.886637,-117.1571477,"https://www.google.com/maps/place/Pure+Project/@32.886637,-117.1571477,15z/data=!4m5!3m4!1s0x0:0xc271d8b49b4a72cc!8m2!3d32.886637!4d-117.1571477"
Pure Project,Pure Project Murklands,4.4,Pale Ale - American,5.5,"9030 Kenamar Dr #308, San Diego, CA 92121",32.886637,-117.1571477,"https://www.google.com/maps/place/Pure+Project/@32.886637,-117.1571477,15z/data=!4m5!3m4!1s0x0:0xc271d8b49b4a72cc!8m2!3d32.886637!4d-117.1571477"
Pure Project,Pure Project La Vie en Rosé,3.3,Saison,6.5,"9030 Kenamar Dr #308, San Diego, CA 92121",32.886637,-117.1571477,"https://www.google.com/maps/place/Pure+Project/@32.886637,-117.1571477,15z/data=!4m5!3m4!1s0x0:0xc271d8b49b4a72cc!8m2!3d32.886637!4d-117.1571477"
Pure Project,Pure Project Power in Numbers,4.9,Stout - Imperial,12.5,"9030 Kenamar Dr #308, San Diego, CA 92121",32.886637,-117.1571477,"https://www.google.com/maps/place/Pure+Project/@32.886637,-117.1571477,15z/data=!4m5!3m4!1s0x0:0xc271d8b49b4a72cc!8m2!3d32.886637!4d-117.1571477"
Pure Project,Pure Project Sensei,2.15,Kölsch,5.2,"9030 Kenamar Dr #308, San Diego, CA 92121",32.886637,-117.1571477,"https://www.google.com/maps/place/Pure+Project/@32.886637,-117.1571477,15z/data=!4m5!3m4!1s0x0:0xc271d8b49b4a72cc!8m2!3d32.886637!4d-117.1571477"
Pure Project,Pure Project Roes Red,4.0,Sour Red / Brown,7.0,"9030 Kenamar Dr #308, San Diego, CA 92121",32.886637,-117.1571477,"https://www.google.com/maps/place/Pure+Project/@32.886637,-117.1571477,15z/data=!4m5!3m4!1s0x0:0xc271d8b49b4a72cc!8m2!3d32.886637!4d-117.1571477"
Pure Project,Pure Project / Bottle Logic Prime Evils,4.85,Stout - Imperial,13.0,"9030 Kenamar Dr #308, San Diego, CA 92121",32.886637,-117.1571477,"https://www.google.com/maps/place/Pure+Project/@32.886637,-117.1571477,15z/data=!4m5!3m4!1s0x0:0xc271d8b49b4a72cc!8m2!3d32.886637!4d-117.1571477"
Pure Project,Pure Project Saison d'Sabio,4.05,Saison,6.5,"9030 Kenamar Dr #308, San Diego, CA 92121",32.886637,-117.1571477,"https://www.google.com/maps/place/Pure+Project/@32.886637,-117.1571477,15z/data=!4m5!3m4!1s0x0:0xc271d8b49b4a72cc!8m2!3d32.886637!4d-117.1571477"
Pure Project,Pure Project Diamond Dust,4.75,IPA,6.7,"9030 Kenamar Dr #308, San Diego, CA 92121",32.886637,-117.1571477,"https://www.google.com/maps/place/Pure+Project/@32.886637,-117.1571477,15z/data=!4m5!3m4!1s0x0:0xc271d8b49b4a72cc!8m2!3d32.886637!4d-117.1571477"
Pure Project,Pure Project Rein,2.9,Zwickel / Keller / Landbier,5.5,"9030 Kenamar Dr #308, San Diego, CA 92121",32.886637,-117.1571477,"https://www.google.com/maps/place/Pure+Project/@32.886637,-117.1571477,15z/data=!4m5!3m4!1s0x0:0xc271d8b49b4a72cc!8m2!3d32.886637!4d-117.1571477"
Mikkeller Brewing Company,Mikkeller San Diego Freddie Murkury,4.85,IPA - Imperial / Double,9.0,"9368 Cabot Dr, San Diego, CA 92126",32.892377,-117.144732,"https://www.google.com/maps/place/Mikkeller+Brewing+San+Diego/@32.892377,-117.144732,15z/data=!4m5!3m4!1s0x0:0x29e1924759262b55!8m2!3d32.892377!4d-117.144732"
Mikkeller Brewing Company,Mikkeller San Diego Beer Geek Cocoa Shake Bourbon BA,4.95,Stout - Imperial,13.0,"9368 Cabot Dr, San Diego, CA 92126",32.892377,-117.144732,"https://www.google.com/maps/place/Mikkeller+Brewing+San+Diego/@32.892377,-117.144732,15z/data=!4m5!3m4!1s0x0:0x29e1924759262b55!8m2!3d32.892377!4d-117.144732"
Mikkeller Brewing Company,Mikkeller San Diego / Crosby Bridges From Afar,2.95,IPA - Imperial / Double,10.1,"9368 Cabot Dr, San Diego, CA 92126",32.892377,-117.144732,"https://www.google.com/maps/place/Mikkeller+Brewing+San+Diego/@32.892377,-117.144732,15z/data=!4m5!3m4!1s0x0:0x29e1924759262b55!8m2!3d32.892377!4d-117.144732"
Mikkeller Brewing Company,Mikkeller San Diego Staff Magician,4.6,Pale Ale - American,5.5,"9368 Cabot Dr, San Diego, CA 92126",32.892377,-117.144732,"https://www.google.com/maps/place/Mikkeller+Brewing+San+Diego/@32.892377,-117.144732,15z/data=!4m5!3m4!1s0x0:0x29e1924759262b55!8m2!3d32.892377!4d-117.144732"
Mikkeller Brewing Company,Mikkeller San Diego Borderline Ethereal,2.55,Saison,5.4,"9368 Cabot Dr, San Diego, CA 92126",32.892377,-117.144732,"https://www.google.com/maps/place/Mikkeller+Brewing+San+Diego/@32.892377,-117.144732,15z/data=!4m5!3m4!1s0x0:0x29e1924759262b55!8m2!3d32.892377!4d-117.144732"
Mikkeller Brewing Company,Mikkeller San Diego Awful Gato,4.75,Brown Ale,8.9,"9368 Cabot Dr, San Diego, CA 92126",32.892377,-117.144732,"https://www.google.com/maps/place/Mikkeller+Brewing+San+Diego/@32.892377,-117.144732,15z/data=!4m5!3m4!1s0x0:0x29e1924759262b55!8m2!3d32.892377!4d-117.144732"
Mikkeller Brewing Company,Mikkeller San Diego That's A Paddlin,3.9,IPA - Imperial / Double,8.0,"9368 Cabot Dr, San Diego, CA 92126",32.892377,-117.144732,"https://www.google.com/maps/place/Mikkeller+Brewing+San+Diego/@32.892377,-117.144732,15z/data=!4m5!3m4!1s0x0:0x29e1924759262b55!8m2!3d32.892377!4d-117.144732"
Mikkeller Brewing Company,Mikkeller San Diego Revival Tactics,2.1,Pilsener,4.1,"9368 Cabot Dr, San Diego, CA 92126",32.892377,-117.144732,"https://www.google.com/maps/place/Mikkeller+Brewing+San+Diego/@32.892377,-117.144732,15z/data=!4m5!3m4!1s0x0:0x29e1924759262b55!8m2!3d32.892377!4d-117.144732"
Mikkeller Brewing Company,Mikkeller San Diego Dee's Knots,4.05,IPA - Hazy / New England,6.3,"9368 Cabot Dr, San Diego, CA 92126",32.892377,-117.144732,"https://www.google.com/maps/place/Mikkeller+Brewing+San+Diego/@32.892377,-117.144732,15z/data=!4m5!3m4!1s0x0:0x29e1924759262b55!8m2!3d32.892377!4d-117.144732"
Mikkeller Brewing Company,Mikkeller San Diego Streaking Through the Quad,4.6,IPA - Imperial / Double,12.0,"9368 Cabot Dr, San Diego, CA 92126",32.892377,-117.144732,"https://www.google.com/maps/place/Mikkeller+Brewing+San+Diego/@32.892377,-117.144732,15z/data=!4m5!3m4!1s0x0:0x29e1924759262b55!8m2!3d32.892377!4d-117.144732"
Mikkeller Brewing Company,Mikkeller Beer Geek Vanilla Shake (Bourbon Edition),5.0,Stout - Imperial,13.0,"9368 Cabot Dr, San Diego, CA 92126",32.892377,-117.144732,"https://www.google.com/maps/place/Mikkeller+Brewing+San+Diego/@32.892377,-117.144732,15z/data=!4m5!3m4!1s0x0:0x29e1924759262b55!8m2!3d32.892377!4d-117.144732"
Mikkeller Brewing Company,Mikkeller San Diego Freckle Face,2.45,Berliner Weisse,4.0,"9368 Cabot Dr, San Diego, CA 92126",32.892377,-117.144732,"https://www.google.com/maps/place/Mikkeller+Brewing+San+Diego/@32.892377,-117.144732,15z/data=!4m5!3m4!1s0x0:0x29e1924759262b55!8m2!3d32.892377!4d-117.144732"
Mikkeller Brewing Company,Mikkeller San Diego Puddin’ Pop,4.75,Stout - Imperial,10.0,"9368 Cabot Dr, San Diego, CA 92126",32.892377,-117.144732,"https://www.google.com/maps/place/Mikkeller+Brewing+San+Diego/@32.892377,-117.144732,15z/data=!4m5!3m4!1s0x0:0x29e1924759262b55!8m2!3d32.892377!4d-117.144732"
