Brewery,Name,Score,Style,ABV,Address,Lat,Lon,Link
Stone Brewing World Bistro & Gardens (Escondido),Stone (Berlin) Collab 09 Todd Haug Saurer Axtmann,4.45,Berliner Weisse,9.0,"1999 Citracado Parkway, Escondido, CA 92029",33.115648,-117.122468,"https://www.google.com/maps/place/1999+Citracado+Parkway,+Escondido,+CA+92029/@33.115648,-117.122468,17z/data=!3m1!4b1!4m5!3m4!1s0x80dbf4e6aa31ef99:0xf9e48b73f5afc57f!8m2!3d33.115648!4d-117.120274"
Stone Brewing World Bistro & Gardens (Escondido),Arrogant Bastard Ale,4.95,American Strong Ale,7.2,"1999 Citracado Parkway, Escondido, CA 92029",33.115648,-117.122468,"https://www.google.com/maps/place/1999+Citracado+Parkway,+Escondido,+CA+92029/@33.115648,-117.122468,17z/data=!3m1!4b1!4m5!3m4!1s0x80dbf4e6aa31ef99:0xf9e48b73f5afc57f!8m2!3d33.115648!4d-117.120274"
Stone Brewing World Bistro & Gardens (Escondido),Miguel Ceja Andrade / Brandon Berube / Stone Merc Machine,4.8,IPA - Imperial / Double,9.0,"1999 Citracado Parkway, Escondido, CA 92029",33.115648,-117.122468,"https://www.google.com/maps/place/1999+Citracado+Parkway,+Escondido,+CA+92029/@33.115648,-117.122468,17z/data=!3m1!4b1!4m5!3m4!1s0x80dbf4e6aa31ef99:0xf9e48b73f5afc57f!8m2!3d33.115648!4d-117.120274"
Stone Brewing World Bistro & Gardens (Escondido),Stone Loral & Dr. Rudi's Inevitable Adventure Double IPA,4.65,IPA - Imperial / Double,8.9,"1999 Citracado Parkway, Escondido, CA 92029",33.115648,-117.122468,"https://www.google.com/maps/place/1999+Citracado+Parkway,+Escondido,+CA+92029/@33.115648,-117.122468,17z/data=!3m1!4b1!4m5!3m4!1s0x80dbf4e6aa31ef99:0xf9e48b73f5afc57f!8m2!3d33.115648!4d-117.120274"
Stone Brewing World Bistro & Gardens (Escondido),Arrogant Punishment - Scotch Whiskey Barrel,3.8,American Strong Ale,11.5,"1999 Citracado Parkway, Escondido, CA 92029",33.115648,-117.122468,"https://www.google.com/maps/place/1999+Citracado+Parkway,+Escondido,+CA+92029/@33.115648,-117.122468,17z/data=!3m1!4b1!4m5!3m4!1s0x80dbf4e6aa31ef99:0xf9e48b73f5afc57f!8m2!3d33.115648!4d-117.120274"
Stone Brewing World Bistro & Gardens (Escondido),Wild Barrel San Diego Vice - Black Currant,4.35,Berliner Weisse,5.6,"1999 Citracado Parkway, Escondido, CA 92029",33.115648,-117.122468,"https://www.google.com/maps/place/1999+Citracado+Parkway,+Escondido,+CA+92029/@33.115648,-117.122468,17z/data=!3m1!4b1!4m5!3m4!1s0x80dbf4e6aa31ef99:0xf9e48b73f5afc57f!8m2!3d33.115648!4d-117.120274"
Stone Brewing World Bistro & Gardens (Escondido),Chris Banker / Insurgente / Stone Locoveza Charred,4.35,Sour / Wild Ale,10.0,"1999 Citracado Parkway, Escondido, CA 92029",33.115648,-117.122468,"https://www.google.com/maps/place/1999+Citracado+Parkway,+Escondido,+CA+92029/@33.115648,-117.122468,17z/data=!3m1!4b1!4m5!3m4!1s0x80dbf4e6aa31ef99:0xf9e48b73f5afc57f!8m2!3d33.115648!4d-117.120274"
Stone Brewing World Bistro & Gardens (Escondido),Stone Mocha IPA,4.9,IPA - Imperial / Double,9.0,"1999 Citracado Parkway, Escondido, CA 92029",33.115648,-117.122468,"https://www.google.com/maps/place/1999+Citracado+Parkway,+Escondido,+CA+92029/@33.115648,-117.122468,17z/data=!3m1!4b1!4m5!3m4!1s0x80dbf4e6aa31ef99:0xf9e48b73f5afc57f!8m2!3d33.115648!4d-117.120274"
Stone Brewing World Bistro & Gardens (Escondido),Drew Curtis / Wil Wheaton / Greg Koch Stone Farking Wheaton w00tstout,4.95,Stout - Imperial,13.0,"1999 Citracado Parkway, Escondido, CA 92029",33.115648,-117.122468,"https://www.google.com/maps/place/1999+Citracado+Parkway,+Escondido,+CA+92029/@33.115648,-117.122468,17z/data=!3m1!4b1!4m5!3m4!1s0x80dbf4e6aa31ef99:0xf9e48b73f5afc57f!8m2!3d33.115648!4d-117.120274"
Stone Brewing Liberty Station,Stone Scorpion Bowl IPA,4.45,IPA,7.5,"2816 Historic Decatur Rd #116, San Diego, CA 92106",32.7403007,-117.2119237,"https://www.google.com/maps/place/Stone+Brewing+World+Bistro+%26+Gardens+-+Liberty+Station/@32.7403007,-117.2119237,15z/data=!4m2!3m1!1s0x0:0xb7539190ea356d2?sa=X&ved=0ahUKEwjWwJb54-fZAhUNtlkKHX4UDEYQ_BIIvAEwCg"
Stone Brewing Liberty Station,Stone Liberty Station Lifeblood,2.75,Brown Ale,6.8,"2816 Historic Decatur Rd #116, San Diego, CA 92106",32.7403007,-117.2119237,"https://www.google.com/maps/place/Stone+Brewing+World+Bistro+%26+Gardens+-+Liberty+Station/@32.7403007,-117.2119237,15z/data=!4m2!3m1!1s0x0:0xb7539190ea356d2?sa=X&ved=0ahUKEwjWwJb54-fZAhUNtlkKHX4UDEYQ_BIIvAEwCg"
Stone Brewing Liberty Station,Stone Liberty Station Witty Moron,4.2,Witbier,4.9,"2816 Historic Decatur Rd #116, San Diego, CA 92106",32.7403007,-117.2119237,"https://www.google.com/maps/place/Stone+Brewing+World+Bistro+%26+Gardens+-+Liberty+Station/@32.7403007,-117.2119237,15z/data=!4m2!3m1!1s0x0:0xb7539190ea356d2?sa=X&ved=0ahUKEwjWwJb54-fZAhUNtlkKHX4UDEYQ_BIIvAEwCg"
Stone Brewing Liberty Station,Stone Liberty Station Mättzen,3.0,Oktoberfest / Märzen,6.1,"2816 Historic Decatur Rd #116, San Diego, CA 92106",32.7403007,-117.2119237,"https://www.google.com/maps/place/Stone+Brewing+World+Bistro+%26+Gardens+-+Liberty+Station/@32.7403007,-117.2119237,15z/data=!4m2!3m1!1s0x0:0xb7539190ea356d2?sa=X&ved=0ahUKEwjWwJb54-fZAhUNtlkKHX4UDEYQ_BIIvAEwCg"
Stone Brewing Liberty Station,Stone Liberty Station Cimmerian Portal,4.7,Stout - Foreign / Extra,7.2,"2816 Historic Decatur Rd #116, San Diego, CA 92106",32.7403007,-117.2119237,"https://www.google.com/maps/place/Stone+Brewing+World+Bistro+%26+Gardens+-+Liberty+Station/@32.7403007,-117.2119237,15z/data=!4m2!3m1!1s0x0:0xb7539190ea356d2?sa=X&ved=0ahUKEwjWwJb54-fZAhUNtlkKHX4UDEYQ_BIIvAEwCg"
Stone Brewing Liberty Station,Lord Hobo Virtuoso,4.8,IPA - Imperial / Double,8.8,"2816 Historic Decatur Rd #116, San Diego, CA 92106",32.7403007,-117.2119237,"https://www.google.com/maps/place/Stone+Brewing+World+Bistro+%26+Gardens+-+Liberty+Station/@32.7403007,-117.2119237,15z/data=!4m2!3m1!1s0x0:0xb7539190ea356d2?sa=X&ved=0ahUKEwjWwJb54-fZAhUNtlkKHX4UDEYQ_BIIvAEwCg"
Stone Brewing Liberty Station,El Segundo Steve Austins Broken Skull IPA,4.5,IPA,6.7,"2816 Historic Decatur Rd #116, San Diego, CA 92106",32.7403007,-117.2119237,"https://www.google.com/maps/place/Stone+Brewing+World+Bistro+%26+Gardens+-+Liberty+Station/@32.7403007,-117.2119237,15z/data=!4m2!3m1!1s0x0:0xb7539190ea356d2?sa=X&ved=0ahUKEwjWwJb54-fZAhUNtlkKHX4UDEYQ_BIIvAEwCg"
Stone Brewing Liberty Station,Alchemist Beelzebub,4.9,Stout - Imperial,8.0,"2816 Historic Decatur Rd #116, San Diego, CA 92106",32.7403007,-117.2119237,"https://www.google.com/maps/place/Stone+Brewing+World+Bistro+%26+Gardens+-+Liberty+Station/@32.7403007,-117.2119237,15z/data=!4m2!3m1!1s0x0:0xb7539190ea356d2?sa=X&ved=0ahUKEwjWwJb54-fZAhUNtlkKHX4UDEYQ_BIIvAEwCg"
Stone Brewing Liberty Station,Arrogant Punishment,0.85,American Strong Ale,10.0,"2816 Historic Decatur Rd #116, San Diego, CA 92106",32.7403007,-117.2119237,"https://www.google.com/maps/place/Stone+Brewing+World+Bistro+%26+Gardens+-+Liberty+Station/@32.7403007,-117.2119237,15z/data=!4m2!3m1!1s0x0:0xb7539190ea356d2?sa=X&ved=0ahUKEwjWwJb54-fZAhUNtlkKHX4UDEYQ_BIIvAEwCg"
Stone Brewing Liberty Station,Stone Totalitarian,4.9,Stout - Imperial,10.6,"2816 Historic Decatur Rd #116, San Diego, CA 92106",32.7403007,-117.2119237,"https://www.google.com/maps/place/Stone+Brewing+World+Bistro+%26+Gardens+-+Liberty+Station/@32.7403007,-117.2119237,15z/data=!4m2!3m1!1s0x0:0xb7539190ea356d2?sa=X&ved=0ahUKEwjWwJb54-fZAhUNtlkKHX4UDEYQ_BIIvAEwCg"
Stone Brewing Liberty Station,Stone Liberty Station Space Bar Friends,4.0,Altbier,5.3,"2816 Historic Decatur Rd #116, San Diego, CA 92106",32.7403007,-117.2119237,"https://www.google.com/maps/place/Stone+Brewing+World+Bistro+%26+Gardens+-+Liberty+Station/@32.7403007,-117.2119237,15z/data=!4m2!3m1!1s0x0:0xb7539190ea356d2?sa=X&ved=0ahUKEwjWwJb54-fZAhUNtlkKHX4UDEYQ_BIIvAEwCg"
Stone Brewing Liberty Station,Stone Liberty Station Ashy Stache,4.0,IPA,7.8,"2816 Historic Decatur Rd #116, San Diego, CA 92106",32.7403007,-117.2119237,"https://www.google.com/maps/place/Stone+Brewing+World+Bistro+%26+Gardens+-+Liberty+Station/@32.7403007,-117.2119237,15z/data=!4m2!3m1!1s0x0:0xb7539190ea356d2?sa=X&ved=0ahUKEwjWwJb54-fZAhUNtlkKHX4UDEYQ_BIIvAEwCg"
Stone Brewing Liberty Station,Stone Liberty Station Buoy 1 SD Pale Ale,4.0,Pale Ale - American,5.0,"2816 Historic Decatur Rd #116, San Diego, CA 92106",32.7403007,-117.2119237,"https://www.google.com/maps/place/Stone+Brewing+World+Bistro+%26+Gardens+-+Liberty+Station/@32.7403007,-117.2119237,15z/data=!4m2!3m1!1s0x0:0xb7539190ea356d2?sa=X&ved=0ahUKEwjWwJb54-fZAhUNtlkKHX4UDEYQ_BIIvAEwCg"
